multiverse_id,mtgo_id,set,collector_number,rarity,name,mana_cost,cmc,type_line,artist,usd_price,usd_foil_price,eur_price,tix_price,image_uri,scryfall_uri
409626,,DDQ,50,U,Abattoir Ghoul,{3}{B},4,Creature — Zombie,Volkan Baga,0.07,,0.11,,https://img.scryfall.com/cards/large/en/ddq/50.jpg?1517813031,https://scryfall.com/card/ddq/50/abattoir-ghoul
235595,42612,ISD,1,C,Abbey Griffin,{3}{W},4,Creature — Griffin,Jaime Jones,0.06,0.2,0.04,0.02,https://img.scryfall.com/cards/large/front/b/f/bf87803b-e7c6-4122-add4-72e596167b7e.jpg?1545406587,https://scryfall.com/card/isd/1/abbey-griffin
14526,,6ED,55,U,Abduction,{2}{U}{U},4,Enchantment — Aura,Colin MacNeil,0.2,,0.19,,https://img.scryfall.com/cards/large/en/6ed/55.jpg?1517813031,https://scryfall.com/card/6ed/55/abduction
409790,59886,SOI,49,U,Aberrant Researcher // Perfected Form,{3}{U},4,Creature — Human Insect // Creature — Insect Horror,Nils Hamm,0.07,0.11,0.08,0.01,https://img.scryfall.com/cards/large/en/soi/49a.jpg?1518204227,https://scryfall.com/card/soi/49/aberrant-researcher-perfected-form
96953,23777,GPT,1,C,Absolver Thrull,{3}{W},4,Creature — Thrull Cleric,Rob Alexander,0.05,0.22,0.04,0.01,https://img.scryfall.com/cards/large/en/gpt/1.jpg?1517813031,https://scryfall.com/card/gpt/1/absolver-thrull
50164,20678,5DN,1,C,Abuna's Chant,{3}{W},4,Instant,John Matson,0.06,0.39,0.02,0.01,https://img.scryfall.com/cards/large/en/5dn/1.jpg?1517813031,https://scryfall.com/card/5dn/1/abunas-chant
433077,,C17,145,R,Abundance,{2}{G}{G},4,Enchantment,Rebecca Guay,0.49,,0.25,,https://img.scryfall.com/cards/large/en/c17/145.jpg?1517813031,https://scryfall.com/card/c17/145/abundance
15383,,6ED,109,R,Abyssal Hunter,{3}{B},4,Creature — Human Assassin,Steve Luke,0.25,,0.3,,https://img.scryfall.com/cards/large/en/6ed/109.jpg?1517813031,https://scryfall.com/card/6ed/109/abyssal-hunter
6567,,P02,61,U,Abyssal Nightstalker,{3}{B},4,Creature — Nightstalker,Sam Wood,0.34,,0.21,,https://img.scryfall.com/cards/large/en/p02/61.jpg?1517813031,https://scryfall.com/card/p02/61/abyssal-nightstalker
438644,66035,IMA,78,R,Abyssal Persecutor,{2}{B}{B},4,Creature — Demon,Chippy,0.16,0.74,0.35,0.39,https://img.scryfall.com/cards/large/en/ima/78.jpg?1530592007,https://scryfall.com/card/ima/78/abyssal-persecutor
425884,63523,MM3,59,U,Abyssal Specter,{2}{B}{B},4,Creature — Specter,Daarken,0.11,0.19,0.07,0.01,https://img.scryfall.com/cards/large/en/mm3/59.jpg?1517813031,https://scryfall.com/card/mm3/59/abyssal-specter
438568,65883,IMA,2,U,Abzan Battle Priest,{3}{W},4,Creature — Human Cleric,Chris Rahn,0.09,0.19,0.07,0.02,https://img.scryfall.com/cards/large/en/ima/2.jpg?1530591578,https://scryfall.com/card/ima/2/abzan-battle-priest
391783,55534,FRF,120,U,Abzan Kin-Guard,{3}{G},4,Creature — Human Warrior,Craig J Spearing,0.04,0.13,0.03,0.01,https://img.scryfall.com/cards/large/en/frf/120.jpg?1517813031,https://scryfall.com/card/frf/120/abzan-kin-guard
391785,55352,FRF,4,C,Abzan Skycaptain,{3}{W},4,Creature — Bird Soldier,Matt Stewart,0.04,0.11,0.02,0.01,https://img.scryfall.com/cards/large/en/frf/4.jpg?1517813031,https://scryfall.com/card/frf/4/abzan-skycaptain
420698,,C16,81,R,Academy Elite,{3}{U},4,Creature — Human Wizard,Volkan Baga,0.15,,0.14,,https://img.scryfall.com/cards/large/en/c16/81.jpg?1517813031,https://scryfall.com/card/c16/81/academy-elite
15138,12791,UDS,1,R,Academy Rector,{3}{W},4,Creature — Human Cleric,Heather Hudson,64.85,649.98,40.87,2.25,https://img.scryfall.com/cards/large/en/uds/1.jpg?1517813031,https://scryfall.com/card/uds/1/academy-rector
30692,16711,ODY,172,C,Acceptable Losses,{3}{R},4,Sorcery,Mike Ploog,0.05,0.23,0.04,0.01,https://img.scryfall.com/cards/large/en/ody/172.jpg?1517813031,https://scryfall.com/card/ody/172/acceptable-losses
430745,64596,HOU,56,U,Accursed Horde,{3}{B},4,Creature — Zombie,Victor Adame Minguez,0.06,0.24,0.07,0.02,https://img.scryfall.com/cards/large/en/hou/56.jpg?1517813031,https://scryfall.com/card/hou/56/accursed-horde
383175,53458,M15,85,C,Accursed Spirit,{3}{B},4,Creature — Spirit,Kev Walker,0.05,0.15,0.02,0.01,https://img.scryfall.com/cards/large/en/m15/85.jpg?1517813031,https://scryfall.com/card/m15/85/accursed-spirit
409843,60370,SOI,97,U,Accursed Witch // Infectious Curse,{3}{B},4,Creature — Human Shaman // Enchantment — Aura Curse,Wesley Burt,0.18,0.75,0.11,0.01,https://img.scryfall.com/cards/large/en/soi/97a.jpg?1518204233,https://scryfall.com/card/soi/97/accursed-witch-infectious-curse
3239,6763,MIR,291,R,Acidic Dagger,{4},4,Artifact,Stuart Beel,0.45,,0.34,0.02,https://img.scryfall.com/cards/large/en/mir/291.jpg?1517813031,https://scryfall.com/card/mir/291/acidic-dagger
233197,40632,CMD,241,R,Acorn Catapult,{4},4,Artifact,Jesper Ejsing,1.76,,0.42,0.17,https://img.scryfall.com/cards/large/en/cmd/241.jpg?1517813031,https://scryfall.com/card/cmd/241/acorn-catapult
29873,17295,TOR,118,C,Acorn Harvest,{3}{G},4,Sorcery,"Edward P. Beard, Jr.",0.14,1.57,0.09,0.01,https://img.scryfall.com/cards/large/en/tor/118.jpg?1517813031,https://scryfall.com/card/tor/118/acorn-harvest
435373,65454,XLN,217,M,Admiral Beckett Brass,{1}{U}{B}{R},4,Legendary Creature — Human Pirate,Jason Rainville,0.51,3.11,0.63,0.03,https://img.scryfall.com/cards/large/en/xln/217.jpg?1527430800,https://scryfall.com/card/xln/217/admiral-beckett-brass
50144,20704,5DN,22,C,Advanced Hoverguard,{3}{U},4,Creature — Drone,Scott M. Fischer,0.04,0.24,0.04,0.01,https://img.scryfall.com/cards/large/en/5dn/22.jpg?1517813031,https://scryfall.com/card/5dn/22/advanced-hoverguard
456365,,GK1,107,R,Advent of the Wurm,{1}{G}{G}{W},4,Instant,Lucas Graciano,0.14,,0.25,,https://img.scryfall.com/cards/large/front/e/4/e49ceeeb-ebb4-4364-9cfa-367b1d153b9e.jpg?1541002882,https://scryfall.com/card/gk1/107/advent-of-the-wurm
401803,58355,BFZ,54,U,Adverse Conditions,{3}{U},4,Instant,Jason Rainville,0.05,0.1,0.04,0.01,https://img.scryfall.com/cards/large/en/bfz/54.jpg?1517813031,https://scryfall.com/card/bfz/54/adverse-conditions
447347,68583,M19,211,U,Aerial Engineer,{2}{W}{U},4,Creature — Human Artificer,Zoltan Boros,0.03,0.11,0.06,0.02,https://img.scryfall.com/cards/large/en/m19/211.jpg?1531451106,https://scryfall.com/card/m19/211/aerial-engineer
439391,,UST,2,U,Aerial Toastmaster,{3}{W},4,Artifact Creature — Cyborg Rigger,Carl Critchlow,0.03,0.34,0.04,,https://img.scryfall.com/cards/large/en/ust/2.jpg?1522205326,https://scryfall.com/card/ust/2/aerial-toastmaster
